"","ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR"
"14","walking",0.37,0.505,0.125,0,0,0,0,0,0,0,0,0,0,0.085,0.2,0.26,0.25,0.14,0.05,0.015,0.1,0.33,0.425,0.125,0.02,0,0,0,0,0,-2.0549,9.66295,0.388994,37.6471,43.4091,39.7917,1.46904,2.79597,1.61984,0.127343,0.239284,0.14942,0.356852,0.489167,0.386548
"15","walking",0.345,0.595,0.06,0,0,0,0,0,0,0,0,0,0,0.095,0.195,0.265,0.23,0.16,0.035,0.02,0.075,0.32,0.505,0.065,0.035,0,0,0,0,0,-2.15013,9.55572,0.394461,36.9231,43.5714,35.9259,1.47826,2.85775,1.4941,0.129462,0.248202,0.145512,0.359808,0.498198,0.38146
"16","walking",0.365,0.505,0.125,0.005,0,0,0,0,0,0,0,0,0.005,0.1,0.19,0.25,0.225,0.19,0.04,0,0.085,0.34,0.46,0.095,0.02,0,0,0,0,0,-2.18652,9.52696,0.320537,35.1852,56.1765,39,1.71301,2.80237,1.4728,0.154183,0.239151,0.141388,0.392661,0.48903,0.376016
"17","walking",0.425,0.455,0.115,0.005,0,0,0,0,0,0,0,0,0.005,0.105,0.19,0.245,0.24,0.165,0.035,0.015,0.075,0.38,0.465,0.06,0.02,0,0,0,0,0,-2.35729,9.52867,0.328585,38.0392,49.7436,39.5833,1.62327,2.94061,1.46789,0.140435,0.251666,0.136375,0.374746,0.501663,0.36929
"18","walking",0.005,0.045,0.165,0.38,0.24,0.07,0.03,0.02,0.02,0.025,0.01,0.025,0.025,0.205,0.135,0.265,0.165,0.105,0.015,0.05,0.135,0.235,0.41,0.07,0.055,0.055,0.035,0.005,0,0,5.07132,8.28927,1.03407,35.4717,34,31.2698,2.75097,3.53093,2.74255,0.284471,0.326798,0.278447,0.533358,0.571662,0.52768
"19","walking",0.01,0.06,0.165,0.405,0.215,0.065,0.025,0.02,0.025,0.01,0.005,0.01,0.08,0.145,0.11,0.355,0.155,0.06,0.03,0.05,0.155,0.25,0.36,0.105,0.055,0.045,0.015,0.015,0,0,4.7371,8.43164,0.849532,36.3462,34.7273,32.5424,2.65121,3.33767,2.83939,0.269642,0.315235,0.283351,0.519271,0.561458,0.532308
"20","walking",0,0.07,0.195,0.395,0.19,0.065,0.05,0.015,0.01,0.01,0.01,0.015,0.13,0.09,0.085,0.33,0.175,0.09,0.015,0.06,0.14,0.325,0.3,0.105,0.045,0.035,0.025,0.02,0.005,0,4.61791,8.47854,0.977499,35.2727,39.7959,32.6667,2.611,3.65406,2.82769,0.25695,0.343618,0.285564,0.506903,0.58619,0.534382
"21","walking",0.005,0.055,0.22,0.41,0.165,0.055,0.055,0.03,0,0.005,0.005,0.015,0.135,0.055,0.125,0.34,0.15,0.11,0.015,0.05,0.12,0.3,0.335,0.11,0.03,0.065,0.015,0.015,0.01,0,4.37941,8.53652,1.08933,40.4167,36.5385,33.9655,2.55804,3.4699,2.88917,0.247189,0.33004,0.294636,0.497181,0.574491,0.542804
"22","walking",0,0.05,0.23,0.415,0.165,0.085,0.035,0.015,0,0.005,0.01,0.025,0.125,0.085,0.06,0.31,0.195,0.095,0.04,0.055,0.155,0.33,0.275,0.135,0.025,0.025,0.04,0.015,0,0,4.20028,8.69639,0.850603,36.8,37.0588,31.3115,2.35364,3.79579,2.73441,0.224066,0.355294,0.268722,0.473356,0.596065,0.518384
"23","walking",0.005,0.1,0.2,0.435,0.125,0.045,0.045,0.035,0.01,0,0.01,0.025,0.125,0.095,0.06,0.295,0.165,0.12,0.045,0.06,0.14,0.305,0.3,0.11,0.05,0.055,0.015,0.02,0.005,0,4.03442,8.81244,1.17165,42.6667,42.8889,31.2903,2.62145,3.99143,2.95602,0.259711,0.362297,0.28938,0.509619,0.601911,0.53794
"24","walking",0.005,0.115,0.23,0.38,0.135,0.05,0.03,0.04,0.01,0.005,0.005,0.015,0.155,0.075,0.045,0.245,0.24,0.11,0.035,0.075,0.15,0.35,0.25,0.11,0.06,0.035,0.015,0.005,0.015,0.01,3.92022,8.97922,0.950313,42,41.9565,33.2759,2.72854,4.09036,3.14037,0.269712,0.37034,0.31741,0.519338,0.608556,0.563391
"25","walking",0.02,0.08,0.3,0.345,0.115,0.085,0.03,0.015,0.01,0,0.015,0.02,0.125,0.075,0.08,0.285,0.17,0.15,0.015,0.065,0.125,0.315,0.29,0.135,0.055,0.02,0.015,0.03,0.015,0,3.58416,8.853,1.17775,42.3913,40.2083,32.8814,2.57072,3.89961,2.99716,0.247646,0.359506,0.300082,0.49764,0.599588,0.547798
"26","walking",0.01,0.1,0.285,0.4,0.11,0.045,0.035,0.015,0,0,0,0.025,0.13,0.105,0.07,0.23,0.21,0.14,0.035,0.055,0.13,0.34,0.27,0.13,0.05,0.03,0.02,0.01,0.005,0.015,3.39232,8.92698,1.15586,40.2041,42.8889,32.5424,2.20478,4.02544,3.00763,0.220156,0.356103,0.305264,0.469208,0.596744,0.552507
"27","walking",0,0.125,0.305,0.39,0.09,0.035,0.03,0.02,0.005,0,0,0.015,0.105,0.12,0.075,0.26,0.225,0.11,0.025,0.065,0.15,0.275,0.34,0.1,0.03,0.055,0.015,0.02,0.01,0.005,3.19363,9.01208,1.34008,37.8431,38.1633,34.8148,2.18121,3.78027,3.01406,0.222801,0.340019,0.310116,0.472018,0.583111,0.55688
"28","walking",0.01,0.1,0.35,0.385,0.085,0.045,0.015,0.01,0,0,0.01,0.01,0.095,0.11,0.105,0.255,0.17,0.12,0.07,0.055,0.1,0.315,0.375,0.095,0.025,0.045,0.01,0.02,0.005,0.01,2.93896,9.12225,1.22047,37.6471,36.0377,31.8033,2.03035,4.08437,2.77883,0.197034,0.370715,0.299718,0.443885,0.608864,0.547465
"29","walking",0.03,0.13,0.41,0.29,0.09,0.03,0.015,0,0,0.005,0,0.01,0.035,0.19,0.09,0.235,0.21,0.13,0.04,0.06,0.15,0.31,0.32,0.105,0.04,0.05,0,0.005,0.02,0,2.40013,9.30762,0.700032,39.2,38.4,33.6207,2.03207,3.69834,2.79246,0.206676,0.329599,0.300414,0.454616,0.574107,0.5481
"30","walking",0.03,0.145,0.415,0.3,0.05,0.055,0.005,0,0,0,0,0.005,0.05,0.14,0.085,0.295,0.205,0.13,0.035,0.055,0.185,0.23,0.31,0.15,0.055,0.035,0,0.03,0.005,0,2.20747,9.42593,0.982206,39.7959,40.8511,31.2903,1.90129,3.45066,3.02135,0.185772,0.315706,0.296454,0.431012,0.561877,0.544476
"31","walking",0.025,0.15,0.45,0.245,0.07,0.045,0.01,0.005,0,0,0.01,0.025,0.085,0.09,0.085,0.235,0.215,0.15,0.045,0.06,0.15,0.315,0.265,0.12,0.07,0.02,0.03,0.01,0.02,0,2.18795,9.30885,1.22015,42.6667,40.6383,33.3898,1.9661,3.92123,3.10988,0.197646,0.355261,0.304462,0.444575,0.596038,0.551781
"32","walking",0.04,0.155,0.415,0.275,0.05,0.035,0.03,0,0,0,0,0.01,0.06,0.135,0.075,0.26,0.245,0.115,0.05,0.05,0.17,0.305,0.305,0.09,0.04,0.055,0.005,0.01,0.02,0,2.17614,9.38544,0.873605,45.4762,39.7959,35.0909,2.09109,3.54381,2.88329,0.202466,0.320031,0.297183,0.449962,0.565713,0.545145
"33","walking",0.02,0.155,0.475,0.195,0.105,0.04,0.01,0,0,0,0.01,0.02,0.06,0.14,0.06,0.26,0.19,0.135,0.07,0.055,0.175,0.28,0.32,0.105,0.035,0.025,0.03,0.01,0.015,0.005,2.13246,9.33656,0.849334,40.2083,37.6923,32.6667,2.0229,3.95093,3.00247,0.190969,0.360637,0.311448,0.437,0.60053,0.558075
"34","walking",0.03,0.18,0.455,0.215,0.09,0.02,0.01,0,0,0,0.01,0.005,0.085,0.12,0.08,0.21,0.23,0.165,0.045,0.05,0.19,0.24,0.315,0.125,0.045,0.015,0.05,0.01,0,0.01,1.96469,9.34314,0.966066,43.4091,36.7925,30.6349,1.96103,3.86289,3.1485,0.189603,0.346242,0.31786,0.435434,0.588423,0.563791
"35","walking",0.025,0.2,0.425,0.235,0.08,0.02,0.015,0,0,0,0,0.01,0.1,0.115,0.065,0.24,0.23,0.125,0.045,0.07,0.195,0.275,0.255,0.155,0.035,0.025,0.03,0.02,0.005,0.005,1.9023,9.47317,0.880967,46.75,33.0508,32,2.02292,3.93,3.14598,0.191463,0.351641,0.312809,0.437565,0.592993,0.559294
"36","walking",0.045,0.175,0.42,0.215,0.1,0.035,0.005,0.005,0,0,0,0.02,0.1,0.11,0.085,0.25,0.195,0.13,0.045,0.065,0.145,0.32,0.3,0.1,0.05,0.025,0.015,0.025,0.005,0.015,1.97168,9.24423,1.03672,43.6364,39.1837,28.4058,2.12554,3.95639,3.08117,0.202144,0.352984,0.324054,0.449604,0.594125,0.569257
"37","walking",0.085,0.165,0.465,0.135,0.085,0.055,0.005,0.005,0,0,0,0.02,0.08,0.145,0.105,0.19,0.18,0.14,0.05,0.09,0.2,0.295,0.25,0.1,0.06,0.035,0.025,0.01,0.015,0.01,1.79771,9.34988,1.00675,41.7021,37.5,31.1111,2.34409,4.34817,3.4133,0.229048,0.375191,0.341388,0.47859,0.612528,0.584284
"38","walking",0.055,0.23,0.4,0.2,0.06,0.04,0.01,0.005,0,0,0.01,0.02,0.09,0.08,0.1,0.235,0.165,0.16,0.075,0.065,0.145,0.315,0.31,0.11,0.05,0.015,0.025,0.01,0,0.02,1.69198,9.56147,0.994255,41.7021,41.0417,32.2951,2.18005,4.14782,2.98652,0.209642,0.364963,0.31834,0.457867,0.604122,0.564216
"39","walking",0.1,0.16,0.415,0.19,0.105,0.025,0.005,0,0,0,0,0.02,0.08,0.12,0.105,0.21,0.215,0.12,0.05,0.08,0.175,0.265,0.33,0.115,0.045,0.025,0.01,0.015,0.01,0.01,1.56999,9.50255,0.786031,36.1538,43.1818,30.6349,2.21164,3.91437,3.02993,0.211836,0.350424,0.31613,0.460256,0.591966,0.562255
"40","walking",0.08,0.315,0.465,0.07,0.055,0.015,0,0,0,0,0.945,0.055,0,0,0,0,0,0,0,0,0.195,0.405,0.23,0.06,0.045,0.035,0.01,0.005,0.015,0,0.485913,-9.78567,0.241091,33.9655,39.7959,38.4314,1.75399,2.92322,2.68346,0.177206,0.264328,0.274925,0.420958,0.514128,0.524333
"41","walking",0.065,0.3,0.49,0.095,0.04,0.01,0,0,0,0,0.96,0.025,0.01,0.005,0,0,0,0,0,0,0.2,0.375,0.235,0.065,0.035,0.05,0.025,0.015,0,0,0.586018,-9.81923,0.319687,36.1111,45.4762,36.1538,1.7464,3.13759,2.92792,0.170145,0.28076,0.289704,0.412486,0.529868,0.538241
"42","walking",0.075,0.31,0.465,0.125,0.02,0.005,0,0,0,0,0.94,0.055,0.005,0,0,0,0,0,0,0,0.205,0.36,0.255,0.065,0.045,0.03,0.03,0.005,0.005,0,0.479302,-9.83354,0.297881,35.4545,41.2766,37.5,1.74751,3.1518,2.80905,0.174036,0.280302,0.283317,0.417177,0.529436,0.532275
"43","walking",0.035,0.31,0.455,0.12,0.055,0.015,0.005,0.005,0,0,0.91,0.08,0.01,0,0,0,0,0,0,0,0.235,0.32,0.235,0.085,0.025,0.035,0.035,0.015,0.015,0,0.985319,-9.85643,0.518915,37.3077,41.087,40,1.89249,3.50431,3.18186,0.190765,0.315572,0.317356,0.436766,0.561758,0.563343
"44","walking",0.065,0.265,0.445,0.145,0.055,0.02,0.005,0,0,0,0.905,0.09,0,0.005,0,0,0,0,0,0,0.235,0.33,0.195,0.11,0.035,0.02,0.035,0.03,0,0.01,0.998193,-9.59191,0.734965,35.5556,39.1667,36.9811,1.96541,3.43708,3.2425,0.192522,0.309679,0.317977,0.438773,0.556488,0.563895
"45","walking",0.07,0.285,0.47,0.065,0.09,0.02,0,0,0,0,0.935,0.05,0.005,0.01,0,0,0,0,0,0,0.235,0.38,0.22,0.065,0.005,0.035,0.035,0.025,0,0,0.862379,-9.63923,0.215425,35.6364,42.1739,35.9259,1.96649,3.3294,2.87819,0.18937,0.300458,0.293814,0.435167,0.54814,0.542046
"46","walking",0.055,0.31,0.47,0.1,0.04,0.02,0.005,0,0,0,0.925,0.06,0.01,0.005,0,0,0,0,0,0,0.245,0.36,0.22,0.075,0.035,0.015,0.025,0.025,0,0,0.680692,-9.76054,0.149073,35.4545,40.6383,37.451,1.83873,3.36102,2.80861,0.188767,0.30468,0.28598,0.434474,0.551978,0.534771
"47","walking",0.065,0.285,0.46,0.105,0.065,0.02,0,0,0,0,0.935,0.055,0.005,0.005,0,0,0,0,0,0,0.25,0.315,0.25,0.075,0.035,0.015,0.035,0.015,0.005,0.005,0.800397,-9.62173,0.277658,34.4643,45.7143,36.9231,1.81951,3.34875,3.06954,0.18394,0.2982,0.307269,0.428882,0.546077,0.554319
"48","walking",0.075,0.275,0.455,0.12,0.035,0.025,0.01,0.005,0,0,0.92,0.065,0.015,0,0,0,0,0,0,0,0.26,0.34,0.25,0.075,0.01,0.015,0.03,0.01,0.005,0.005,0.872369,-9.69001,0.0109669,38.2353,40.8333,40.625,1.96518,3.5552,2.85604,0.213779,0.309642,0.294315,0.462363,0.556455,0.542508
"49","walking",0.045,0.33,0.44,0.11,0.05,0.02,0.005,0,0,0,0.94,0.055,0.005,0,0,0,0,0,0,0,0.24,0.36,0.24,0.06,0.03,0.015,0.04,0.01,0.005,0,0.734094,-9.86257,0.0961806,36.9811,41.8182,41.9565,1.82856,3.24912,2.87779,0.1919,0.287172,0.287374,0.438064,0.535884,0.536073
"50","walking",0.065,0.295,0.45,0.095,0.06,0.02,0.005,0.01,0,0,0.935,0.05,0.01,0.005,0,0,0,0,0,0,0.25,0.345,0.245,0.055,0.035,0.03,0.02,0.005,0.015,0,0.938484,-9.78694,0.145001,34.3636,40.8696,37.451,1.95939,3.51227,2.87788,0.20778,0.314177,0.288296,0.455828,0.560515,0.536932
"51","walking",0.06,0.3,0.44,0.095,0.08,0.025,0,0,0,0,0.93,0.065,0,0.005,0,0,0,0,0,0,0.255,0.32,0.26,0.05,0.02,0.015,0.06,0.01,0.01,0,0.911714,-9.64352,0.271315,36.0377,43.7209,37.3077,2.09361,3.5269,3.13291,0.211735,0.31244,0.315979,0.460147,0.558964,0.56212
"52","walking",0.08,0.28,0.435,0.115,0.06,0.015,0.005,0.005,0.005,0,0.91,0.08,0.01,0,0,0,0,0,0,0,0.275,0.325,0.22,0.075,0.02,0.03,0.04,0.005,0.005,0.005,0.939097,-9.82055,0.0295036,38.2,42.6667,37.0588,2.05269,3.59445,3.17777,0.210504,0.313522,0.314501,0.458807,0.559931,0.560804
"53","walking",0.06,0.285,0.5,0.05,0.065,0.03,0.01,0,0,0,0.925,0.07,0,0.005,0,0,0,0,0,0,0.225,0.365,0.245,0.075,0.025,0.015,0.025,0.015,0.005,0.005,0.940763,-9.75306,0.233999,34.9091,38.9583,39.5918,1.96762,3.4169,2.86208,0.204323,0.30716,0.292545,0.452021,0.554221,0.540875
"54","walking",0.075,0.36,0.35,0.11,0.095,0.005,0.005,0,0,0,0.965,0.03,0,0.005,0,0,0,0,0,0,0.21,0.4,0.24,0.06,0.01,0.025,0.035,0.015,0.005,0,0.762769,-9.73755,0.130187,39.3878,44.5238,40,2.13465,3.065,2.75519,0.215147,0.275928,0.288156,0.46384,0.525289,0.536802
"55","walking",0.06,0.29,0.475,0.115,0.035,0.02,0.005,0,0,0,0.945,0.045,0.01,0,0,0,0,0,0,0,0.24,0.335,0.245,0.07,0.03,0.035,0.02,0.015,0.01,0,0.789833,-9.77885,0.202154,36.0784,43.1111,38.9583,1.8439,3.42597,2.95985,0.190751,0.30104,0.300496,0.43675,0.548671,0.548176
"56","walking",0.06,0.34,0.405,0.09,0.075,0.025,0,0.005,0,0,0.92,0.07,0.01,0,0,0,0,0,0,0,0.23,0.35,0.24,0.07,0.03,0.035,0.035,0,0.01,0,0.843571,-9.75884,0.17308,40.2083,39.7917,40,1.96743,3.2799,2.90946,0.20125,0.298885,0.288921,0.448609,0.546704,0.537514
"57","walking",0.205,0.13,0.3,0.175,0.065,0.08,0.03,0.01,0.005,0,0.01,0.005,0.045,0.155,0.17,0.185,0.185,0.115,0.065,0.065,0.245,0.275,0.24,0.09,0.065,0.045,0.025,0.005,0.005,0.005,1.66937,9.23358,0.278637,31.8644,33.9655,34.7273,3.33495,4.05643,3.62856,0.309289,0.352856,0.345997,0.556138,0.594016,0.588215
"58","walking",0.21,0.135,0.325,0.23,0.055,0.02,0.02,0.005,0,0,0,0,0.01,0.11,0.225,0.175,0.235,0.13,0.05,0.065,0.18,0.325,0.255,0.12,0.07,0.015,0.01,0.025,0,0,1.04253,9.86146,0.291889,33.0508,31.6129,35.4545,2.8511,3.4424,3.05689,0.257355,0.301122,0.295486,0.507302,0.548746,0.543586
"59","walking",0.195,0.185,0.225,0.25,0.09,0.015,0.02,0.015,0.005,0,0,0.005,0.035,0.14,0.18,0.19,0.205,0.08,0.08,0.085,0.18,0.315,0.2,0.165,0.075,0.03,0.015,0.015,0.005,0,1.40082,9.76396,0.47287,37.3077,33.2759,35.7407,3.26975,3.89859,3.54107,0.292512,0.338013,0.33834,0.540844,0.581389,0.58167
"60","walking",0.21,0.155,0.255,0.225,0.095,0.02,0.03,0.01,0,0,0,0,0.03,0.195,0.135,0.175,0.21,0.1,0.08,0.075,0.25,0.275,0.17,0.17,0.075,0.015,0.015,0.005,0.02,0.005,1.24898,9.72876,0.303103,35.2727,30.3125,34.6429,3.2771,3.96135,3.88377,0.296621,0.339638,0.371368,0.544629,0.582785,0.6094
"61","walking",0.205,0.185,0.205,0.265,0.07,0.02,0.02,0.015,0.015,0,0,0,0.03,0.22,0.09,0.195,0.18,0.125,0.045,0.115,0.23,0.285,0.195,0.13,0.075,0.03,0.02,0.02,0.01,0.005,1.27725,9.83905,0.553527,36.1538,31.8333,36.1538,3.62597,4.17477,3.93919,0.330814,0.357899,0.378442,0.575164,0.598246,0.615176
"62","walking",0.2,0.2,0.165,0.3,0.07,0.03,0.015,0.01,0.01,0,0,0,0.02,0.22,0.115,0.14,0.245,0.13,0.025,0.105,0.31,0.23,0.205,0.155,0.045,0.01,0.015,0.015,0.005,0.01,1.16195,9.76687,-0.196531,38.3673,32.931,35.7407,3.5491,4.11513,3.87724,0.318794,0.350524,0.377907,0.564618,0.592051,0.614741
"63","walking",0.24,0.12,0.2,0.275,0.09,0.03,0.025,0.015,0.005,0,0,0,0.03,0.235,0.08,0.145,0.24,0.11,0.04,0.12,0.33,0.19,0.17,0.135,0.1,0.025,0.01,0.005,0.01,0.025,1.08862,9.88419,0.243724,35.9259,38.3673,35.1852,3.8488,4.37917,4.39314,0.348538,0.372047,0.418331,0.590371,0.609957,0.646785
"64","walking",0.255,0.15,0.17,0.235,0.13,0.025,0.01,0.02,0.005,0,0,0,0.025,0.245,0.14,0.115,0.165,0.14,0.045,0.125,0.265,0.245,0.145,0.175,0.085,0.02,0,0.015,0.01,0.04,1.17299,9.75441,0.668344,34.2857,29.8462,34.9091,3.8602,4.47995,4.67111,0.336455,0.376252,0.457053,0.580047,0.613394,0.676057
"65","walking",0.205,0.165,0.21,0.275,0.07,0.05,0.01,0.015,0,0,0,0,0.045,0.19,0.105,0.16,0.25,0.105,0.03,0.115,0.25,0.265,0.18,0.15,0.08,0.01,0.035,0.005,0.015,0.01,1.26141,9.85142,0.427646,39.7959,35.3846,33.8596,3.39505,4.06727,4.02777,0.30312,0.352324,0.39125,0.550564,0.593569,0.6255
"66","walking",0.18,0.18,0.24,0.26,0.095,0.015,0.025,0.005,0,0,0,0.005,0.035,0.18,0.11,0.24,0.16,0.105,0.06,0.105,0.235,0.26,0.18,0.185,0.05,0.02,0.035,0.02,0.01,0.005,1.14842,9.79669,0.538085,37.451,35.7407,35.8491,3.21316,3.99538,4.01359,0.290826,0.350001,0.384083,0.539283,0.591609,0.619744
"67","walking",0.215,0.175,0.245,0.18,0.13,0.035,0.005,0.01,0.005,0,0,0.035,0.06,0.17,0.1,0.155,0.195,0.095,0.055,0.135,0.28,0.25,0.19,0.125,0.075,0.02,0.025,0,0.005,0.03,0.974081,9.6759,0.302121,38.0392,40.4255,35.9259,3.56095,4.67922,4.10639,0.328523,0.403033,0.405878,0.573169,0.634848,0.637086
"68","walking",0.17,0.18,0.24,0.275,0.09,0.03,0.015,0,0,0,0,0,0.01,0.15,0.19,0.19,0.215,0.12,0.05,0.075,0.21,0.275,0.215,0.155,0.055,0.03,0.035,0.02,0.005,0,1.25695,9.77036,0.707175,37.6,34.1818,38.4314,2.9385,3.57046,3.51911,0.261037,0.312259,0.341376,0.510917,0.558801,0.584274
"69","walking",0.245,0.105,0.24,0.25,0.08,0.045,0.025,0.005,0.005,0,0,0,0.02,0.18,0.13,0.195,0.21,0.13,0.03,0.105,0.245,0.265,0.22,0.12,0.08,0.025,0.01,0.005,0.01,0.02,1.07483,9.85976,0.441721,36.6667,30.625,34.5614,3.60463,4.01256,3.78146,0.319843,0.346444,0.377426,0.565546,0.588595,0.61435
"70","walking",0.235,0.125,0.23,0.285,0.055,0.025,0.025,0.015,0.005,0,0,0,0.035,0.21,0.09,0.17,0.235,0.105,0.05,0.105,0.285,0.23,0.175,0.175,0.07,0.02,0.005,0.02,0.01,0.01,1.12709,9.85589,0.279601,34.386,34.386,35.6364,3.59449,4.06962,3.92911,0.327798,0.350414,0.3725,0.572536,0.591957,0.610328
"71","walking",0.235,0.155,0.215,0.25,0.065,0.055,0.005,0.005,0.015,0,0,0,0.04,0.195,0.125,0.155,0.21,0.12,0.03,0.125,0.295,0.225,0.185,0.18,0.05,0.015,0.025,0.01,0,0.015,1.07111,9.85622,0.223235,43.1111,34.6429,36.2963,3.64575,4.18561,3.91017,0.330467,0.35873,0.367241,0.574863,0.59894,0.606004
"72","walking",0.22,0.165,0.21,0.27,0.085,0.03,0,0.02,0,0,0,0,0.015,0.23,0.105,0.175,0.185,0.145,0.05,0.095,0.29,0.235,0.175,0.16,0.05,0.035,0.015,0.015,0.015,0.01,0.918191,9.83844,0.300828,41.4894,35.6364,35.6364,3.39251,4.17685,4.10804,0.30246,0.355333,0.396147,0.549964,0.596098,0.629402
